cluster,cluster_name
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
1,glucose-elevated high-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
1,glucose-elevated high-risk profile
0,active lower-risk profile
0,active lower-risk profile
2,cardiometabolic risk profile
0,active lower-risk profile
